cue_id,cuepool_name,no_color,logical_tags
6405,Symmetry Span - D Left,27,7 d left
6406,Symmetry Span - D Left,26,9 d left
6407,Symmetry Span - D Left,28,3 d r_flip
6408,Symmetry Span - D Left,29,1 d left
6409,Symmetry Span - D Left,29,2 d r_flip
6410,Symmetry Span - D Left,26,d 12 r_flip
6411,Symmetry Span - D Left,26,d 11 r_flip
6412,Symmetry Span - D Left,26,10 d left
6413,Symmetry Span - D Left,19,5 d left
6414,Symmetry Span - D Left,26,r_flip 10 d
6415,Symmetry Span - D Left,26,4 d left
6488,Symmetry Span - D Right,26,10 d l_flip
6489,Symmetry Span - D Right,28,3 d l_flip
6490,Symmetry Span - D Right,19,5 d right
6491,Symmetry Span - D Right,27,7 d l_flip
6492,Symmetry Span - D Right,28,3 d right
6493,Symmetry Span - D Right,28,2 d right
6494,Symmetry Span - D Right,24,6 d l_flip
6495,Symmetry Span - D Right,24,6 d right
6496,Symmetry Span - D Right,26,4 d l_flip
6497,Symmetry Span - D Right,26,d right 10
6498,Symmetry Span - D Right,20,5 d l_flip
6499,Symmetry Span - D Right,26,d right 11
6500,Symmetry Span - D Right,29,1 d l_flip
6501,Symmetry Span - D Right,25,d right 12
6502,Symmetry Span - D Right,25,d l_flip 12
6503,Symmetry Span - D Right,26,4 d right
6504,Symmetry Span - D Right,28,1 d right
6505,Symmetry Span - D Right,27,7 d right
6506,Symmetry Span - D Right,27,2 d l_flip
6507,Symmetry Span - D Right,26,9 d l_flip
6508,Symmetry Span - D Right,28,8 d right
6509,Symmetry Span - D Right,26,d l_flip 11
6510,Symmetry Span - D Right,27,8 d l_flip
6511,Symmetry Span - D Right,26,9 d right
6440,Symmetry Span - E Left,27,2 e r_flip
6441,Symmetry Span - E Left,24,3 e left
6442,Symmetry Span - E Left,26,2 e left
6443,Symmetry Span - E Left,28,6 e left
6444,Symmetry Span - E Left,26,1 e r_flip
6445,Symmetry Span - E Left,21,5 e left
6446,Symmetry Span - E Left,25,7 e left
6447,Symmetry Span - E Left,22,4 e r_flip
6448,Symmetry Span - E Left,27,7 e r_flip
6449,Symmetry Span - E Left,27,6 e r_flip
6450,Symmetry Span - E Left,18,4 e left
6451,Symmetry Span - E Left,24,3 e r_flip
6452,Symmetry Span - E Left,23,8 e left
6453,Symmetry Span - E Left,25,8 e r_flip
