logical_tags,org_tags,cue_id
faces australia document,faces document,3386
faces document southafrica,faces document,3387
faces france document,faces document,3388
faces china document,faces document,3389
faces document switzerland,faces document,3390
faces australia document,faces document,3391
faces document singapore,faces document,3392
