logical_tags,org_tags,cue_id,cuepool_name
sral10-11 i,spatialrotation i,7387,Spatial Rotation - objects 10_11A
k sral10-11,spatialrotation k,7389,Spatial Rotation - objects 10_11A
a sral10-11,spatialrotation a,7391,Spatial Rotation - objects 10_11B
c sral10-11,spatialrotation c,7390,Spatial Rotation - objects 10_11B
d sral10-11,spatialrotation d,7393,Spatial Rotation - objects 10_11B
h sral10-11,spatialrotation h,7392,Spatial Rotation - objects 10_11B
f sral10-11,spatialrotation f,7394,Spatial Rotation - objects 10_11C
g sral10-11,spatialrotation g,7395,Spatial Rotation - objects 10_11C
j sral10-11,spatialrotation j,7396,Spatial Rotation - objects 10_11C
a sral12-13,spatialrotation a,7400,Spatial Rotation - objects 12_13A
e sral12-13,spatialrotation e,7398,Spatial Rotation - objects 12_13A
f sral12-13,spatialrotation f,7397,Spatial Rotation - objects 12_13A
h sral12-13,spatialrotation h,7399,Spatial Rotation - objects 12_13A
b sral12-13,spatialrotation b,7403,Spatial Rotation - objects 12_13B
c sral12-13,spatialrotation c,7401,Spatial Rotation - objects 12_13B
g sral12-13,spatialrotation g,7402,Spatial Rotation - objects 12_13B
sral12-13 i,spatialrotation i,7404,Spatial Rotation - objects 12_13B
d sral12-13,spatialrotation d,7406,Spatial Rotation - objects 12_13C
j sral12-13,spatialrotation j,7407,Spatial Rotation - objects 12_13C
k sral12-13,spatialrotation k,7405,Spatial Rotation - objects 12_13C
e sral14-15,spatialrotation e,7408,Spatial Rotation - objects 14_15A
c sral14-15,spatialrotation c,7409,Spatial Rotation - objects 14_15A
a sral14-15,spatialrotation a,7410,Spatial Rotation - objects 14_15B
f sral14-15,spatialrotation f,7576,Spatial Rotation - objects 14_15B
d sral14-15,spatialrotation d,7411,Spatial Rotation - objects 14_15C
b sral14-15,spatialrotation b,7412,Spatial Rotation - objects 14_15C
e sral1,spatialrotation e,7139,Spatial Rotation - objects 1A
h sral1,spatialrotation h,7140,Spatial Rotation - objects 1A
